0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,0.0,0.0,-1.4002488227884575e-36,2.4084086516075866e-35,1.0016542767356405e-33,1.0,5.302816271829658e-36,1.0145083762264005e-35,-2.6592578716626123e-36,3.3530759774476923e-34,-9.26040763888832e-34,8.978426147703023e-34,2.329729932227702e-35,2.3572500170740343e-35,1.4228833214995323e-35,2.413536243781952e-35,3.226773605966376e-36,1.4390421357809377e-36,4.944909267304033e-35,1.2203783038511734e-35
4.0938535075826117e-23,5.557752792692167e-38,-8.881784197001253e-20,1.637541403033045e-20,-9.654061695399554e-37,-1.7763568394002505e-17,1.0,5.223900337764313e-36,2.503885937359397e-19,2.313602955447406e-37,5.184289868556396e-33,1.001554374943759e-16,1.3267543903398126e-34,1.1706493826816211e-35,3.3622481819549425e-36,5.935003463862757e-35,6.144089355768613e-35,4.405249740554543e-36,-2.75318656185738e-36,3.8864089620516627e-35,6.592005006616826e-36
-2.997197650080138e-21,-1.5917745973457182e-21,0.0006518151952752827,-9.861132189406996e-19,-4.796236109824808e-19,0.1303594696249639,1.0,1.8308389847014218e-20,1.21886827696644e-18,-3.067035546665527e-30,1.0985033806807091e-17,2.8062149761770627e-16,-1.124356047355499e-27,2.771893418784252e-17,-1.2165648677080178e-16,-2.7718934187842625e-17,1.2165648677080169e-16,-1.3188563115954707e-16,-4.977182421897786e-17,1.3188563115915373e-16,4.977182421858413e-17
-2.3378035124558093e-20,-1.139887596343776e-20,0.0026070466441174174,-3.091838738311741e-18,-1.483394646712711e-18,0.2606761166405289,1.0,-3.9330578096097375e-19,3.2743415684780313e-18,-7.186165742664384e-30,-1.7567731040945048e-16,5.416526381465108e-16,-5.301443540796636e-28,2.36675225327818e-17,-1.1770810318500462e-16,-2.3667522532781815e-17,1.177081031850045e-16,-1.3259125277277402e-16,-5.28213730896977e-17,1.3259125277240703e-16,5.2821373089330175e-17
-6.504634227687235e-20,-3.1313085128644434e-20,0.005865052218362173,-5.2710448034019506e-18,-2.513237152535431e-18,0.39090717468832953,1.0,-1.4769369211174369e-18,6.383349994739672e-18,-1.2310429906799377e-29,-2.575461254640503e-16,7.015346992219444e-16,-1.5195197130626976e-27,1.940132285387595e-17,-1.2251989348903733e-16,-1.9401322853876002e-17,1.225198934890372e-16,-1.436948628282758e-16,-6.1991814555323e-17,1.4369486282790866e-16,6.199181455495529e-17
-1.293881849598212e-19,-6.202845957226088e-20,0.010424762641340565,-7.627555755351499e-18,-3.642907637164688e-18,0.5210099897526608,1.0,-3.227153106699636e-18,1.0285604334479874e-17,-1.8481678192364108e-29,-4.4232343649463023e-16,8.589662245823611e-16,-9.506946667593957e-28,1.3032056684829576e-17,-1.267892348016236e-16,-1.3032056684829585e-17,1.2678923480162342e-16,-1.54668995976298e-16,-7.317553817491426e-17,1.5466899597593746e-16,7.317553817455309e-17
-2.182205740803345e-19,-1.042328691080428e-19,0.016284682890529787,-1.0171548860368083e-17,-4.8111756632821995e-18,0.6509420759402188,1.0,-5.37671803323263e-18,1.496890405955062e-17,-2.6121009000664857e-29,-4.1727508923221016e-16,1.013932841351774e-15,-2.1085316639715973e-27,5.0898129788660615e-18,-1.308614076929435e-16,-5.089812978866054e-18,1.3086140769294343e-16,-1.6659423112846544e-16,-8.617977099776813e-17,1.665942311281184e-16,8.617977099742034e-17
-3.3349061763414385e-19,-1.5853903898096877e-19,0.023442894155790584,-1.2917562953799638e-17,-6.06584774446685e-18,0.7806611707920262,1.0,-7.39754119571394e-18,2.042062900377715e-17,-3.533607497481268e-29,-3.908090600018769e-16,1.1663172116519439e-15,-1.5833413505237002e-27,-3.798072619568821e-18,-1.3413168651621133e-16,3.798072619568819e-18,1.341316865162112e-16,-1.802240906992639e-16,-1.0018277072802362e-16,1.802240906989393e-16,1.0018277072769829e-16
-4.773070229861437e-19,-2.2589759713631925e-19,0.03189705634774836,-1.5884754989091412e-17,-7.425153288620624e-18,0.9101252899750866,1.0,-9.282261041721543e-18,2.6627574263065827e-17,-4.2000891680998137e-29,-3.628144758613818e-16,1.3160004341621007e-15,-1.0860062657253743e-27,-1.3639578241473577e-17,-1.3664206296278935e-16,1.3639578241473661e-17,1.366420629627891e-16,-1.9559127550156773e-16,-1.151895160156583e-16,1.9559127550125638e-16,1.151895160153461e-16
-6.5207337763320545e-19,-3.076395885020042e-19,0.04164441114936515,-1.9109430634099386e-17,-8.944304857917811e-18,1.0392927812042563,1.0,-1.154420891668188e-17,3.3826326844183976e-17,-4.621833941340867e-29,-5.416873757495653e-16,1.563022037230536e-15,-6.019761926000508e-28,-2.536289170056606e-17,-1.386883096959287e-16,2.536289170056613e-17,1.3868830969592856e-16,-2.1218557226732748e-16,-1.3222102715961184e-16,2.121855722670201e-16,1.322210271593034e-16
